year	apt1	apt2	rent1	rent2	cash	taxapt1	taxapt2	asset
201201	669400	787000	1223	1308	546131	6694	7870	1987967
201202	669400	787300	1223	1308	548662	0	0	2005362
201203	585800	785400	1223	1308	551193	0	0	1922393
201204	585800	789000	1223	1308	553724	0	0	1928524
201205	511700	790700	1223	1308	556255	0	0	1858655
201206	496900	788100	1223	1308	558786	0	0	1843786
201207	487100	784400	1223	1308	561317	0	0	1832817
201208	496000	803000	1223	1308	563848	0	0	1862848
201209	431500	812800	1223	1308	566379	0	0	1810679
201210	453500	813800	1223	1308	568910	0	0	1836210
201211	453500	817600	1223	1308	571441	0	0	1842541
201212	530400	805100	1223	1308	573972	0	0	1909472
201301	785400	817000	1434	1357	576763	6694	7870	2164599
201302	785400	834500	1434	1357	579554	0	0	2199454
201303	713000	838000	1434	1357	582345	0	0	2133345
201304	705700	850500	1434	1357	585136	0	0	2141336
201305	726900	864400	1434	1357	587927	0	0	2179227
201306	635400	864400	1434	1357	590718	0	0	2090518
201307	663500	866000	1434	1357	593509	0	0	2123009
201308	663500	866300	1434	1357	596300	0	0	2126100
201309	615900	888700	1434	1357	599091	0	0	2103691
201310	378500	876800	1434	1357	601882	0	0	1857182
201311	446400	898800	1434	1357	604673	0	0	1949873
201312	446400	896800	1434	1357	607464	0	0	1950664
201401	150700	913300	275	1516	609255	6694	7870	1658691
201402	544300	913300	275	1516	611046	0	0	2068646
201403	575000	920300	275	1516	612837	0	0	2108137
201404	612300	955300	275	1516	614628	0	0	2182228
201405	183100	968000	275	1516	616419	0	0	1767519
201406	372800	979800	275	1516	618210	0	0	1970810
201407	344300	993300	275	1516	620001	0	0	1957601
201408	394300	973700	275	1516	621792	0	0	1989792
201409	618200	973700	275	1516	623583	0	0	2215483
201410	607100	1100000	275	1516	625374	0	0	2332474
201411	518400	1100000	275	1516	627165	0	0	2245565
201412	584100	1000000	275	1516	628956	0	0	2213056
201501	975700	996600	1780	1654	632390	6694	7870	2590126
201502	993800	1000000	1780	1654	635824	0	0	2629624
201503	985600	978400	1780	1654	639258	0	0	2603258
201504	1000000	994900	1780	1654	642692	0	0	2637592
201505	1000000	991500	1780	1654	646126	0	0	2637626
201506	962000	1000000	1780	1654	649560	0	0	2611560
201507	1000000	982000	1780	1654	652994	0	0	2634994
201508	1000000	984400	1780	1654	656428	0	0	2640828
201509	1100000	1000000	1780	1654	659862	0	0	2759862
201510	1100000	1000000	1780	1654	663296	0	0	2763296
201511	1100000	1000000	1780	1654	666730	0	0	2766730
201512	1100000	1000000	1780	1654	670164	0	0	2770164
201601	1300000	982900	2371	1740	458024	6694	9829	2724401
201602	1300000	1000000	2371	1740	462135	0	0	2762135
201603	1300000	1200000	2371	1740	466246	0	0	2966246
201604	1200000	1200000	2371	1740	470357	0	0	2870357
201605	1200000	1300000	2371	1740	474468	0	0	2974468
201606	1200000	1200000	2371	1740	478579	0	0	2878579
201607	1200000	1300000	2371	1740	482690	0	0	2982690
201608	1200000	1300000	2371	1740	486801	0	0	2986801
201609	1200000	1400000	2371	1740	490912	0	0	3090912
201610	1200000	1500000	2371	1740	495023	0	0	3195023
201611	1200000	1500000	2371	1740	499134	0	0	3199134
201612	1200000	1300000	2371	1740	503245	0	0	3003245
201701	1200000	1300000	2371	1740	507356	6694	9829	2990833
201702	1200000	925000	2371	1740	511467	0	0	2636467
201703	1200000	926600	2371	1740	515578	0	0	2642178
201704	1200000	929800	2371	1740	519689	0	0	2649489
201705	1200000	949000	2371	1740	523800	0	0	2672800
201706	1200000	915400	2371	1740	527911	0	0	2643311
201707	1200000	915400	2371	1740	532022	0	0	2647422
201708	1200000	1100000	2371	1740	536133	0	0	2836133
201709	1200000	1100000	2371	1740	540244	0	0	2840244
201710	1300000	1100000	2371	1740	544355	0	0	2944355
201711	1300000	973200	2371	1740	548466	0	0	2821666
201712	1300000	973200	2371	1740	552577	0	0	2825777
201801	1300000	967900	2371	1730	556678	6694	9775.471743	2808108.528
201802	1300000	964200	2371	1730	560779	0	0	2824979
201803	1300000	978800	2371	1730	564880	0	0	2843680
201804	933800	971800	2371	1730	568981	0	0	2474581
201805	933800	965200	2371	1730	573082	0	0	2472082
201806	887000	984400	2371	1730	577183	0	0	2448583
201807	887000	984400	2371	1730	581284	0	0	2452684
201808	887000	961100	2371	1730	585385	0	0	2433485
201809	887500	1100000	2371	1730	589486	0	0	2576986
201810	887500	952700	2371	1730	593587	0	0	2433787
201811	880600	952900	2371	1730	597688	0	0	2431188
